CustomerID,SimilarCustomers
C0001,"[('C0103', 0.998), ('C0092', 0.997), ('C0135', 0.993)]"
C0002,"[('C0029', 1.0), ('C0077', 0.996), ('C0157', 0.995)]"
C0003,"[('C0111', 0.998), ('C0190', 0.997), ('C0038', 0.99)]"
C0004,"[('C0165', 0.998), ('C0162', 0.998), ('C0075', 0.997)]"
C0005,"[('C0167', 1.0), ('C0020', 1.0), ('C0128', 0.999)]"
C0006,"[('C0168', 0.998), ('C0196', 0.995), ('C0187', 0.995)]"
C0007,"[('C0125', 1.0), ('C0089', 0.998), ('C0085', 0.996)]"
C0008,"[('C0084', 0.996), ('C0113', 0.996), ('C0017', 0.993)]"
C0009,"[('C0130', 1.0), ('C0128', 0.999), ('C0192', 0.999)]"
C0010,"[('C0176', 0.999), ('C0055', 0.994), ('C0174', 0.993)]"
C0011,"[('C0023', 0.999), ('C0139', 0.987), ('C0100', 0.985)]"
C0012,"[('C0101', 1.0), ('C0093', 1.0), ('C0153', 0.999)]"
C0013,"[('C0021', 1.0), ('C0141', 0.998), ('C0059', 0.997)]"
C0014,"[('C0097', 0.999), ('C0043', 0.997), ('C0032', 0.996)]"
C0015,"[('C0058', 0.999), ('C0186', 0.994), ('C0131', 0.993)]"
C0016,"[('C0040', 1.0), ('C0107', 0.999), ('C0066', 0.998)]"
C0017,"[('C0113', 1.0), ('C0084', 0.995), ('C0008', 0.993)]"
C0018,"[('C0041', 0.994), ('C0068', 0.993), ('C0004', 0.99)]"
C0019,"[('C0166', 0.997), ('C0031', 0.994), ('C0088', 0.988)]"
C0020,"[('C0005', 1.0), ('C0128', 1.0), ('C0167', 1.0)]"
C0021,"[('C0013', 1.0), ('C0082', 0.998), ('C0200', 0.998)]"
C0022,"[('C0149', 0.994), ('C0054', 0.986), ('C0163', 0.986)]"
C0023,"[('C0011', 0.999), ('C0100', 0.99), ('C0168', 0.986)]"
C0024,"[('C0139', 0.921), ('C0011', 0.914), ('C0023', 0.899)]"
C0025,"[('C0144', 0.998), ('C0071', 0.997), ('C0172', 0.997)]"
C0026,"[('C0016', 0.996), ('C0040', 0.996), ('C0107', 0.993)]"
C0027,"[('C0094', 0.989), ('C0157', 0.988), ('C0029', 0.985)]"
C0028,"[('C0156', 0.999), ('C0173', 0.998), ('C0145', 0.998)]"
C0029,"[('C0002', 1.0), ('C0077', 0.995), ('C0157', 0.994)]"
C0030,"[('C0106', 0.997), ('C0010', 0.988), ('C0176', 0.984)]"
C0031,"[('C0166', 0.998), ('C0088', 0.997), ('C0197', 0.995)]"
C0032,"[('C0062', 1.0), ('C0043', 0.999), ('C0197', 0.998)]"
C0033,"[('C0060', 0.999), ('C0151', 0.996), ('C0025', 0.993)]"
C0034,"[('C0091', 0.997), ('C0161', 0.975), ('C0049', 0.973)]"
C0035,"[('C0112', 1.0), ('C0071', 0.998), ('C0097', 0.998)]"
C0036,"[('C0119', 1.0), ('C0083', 1.0), ('C0052', 0.999)]"
C0037,"[('C0170', 1.0), ('C0171', 0.997), ('C0138', 0.996)]"
C0038,"[('C0072', 0.993), ('C0003', 0.99), ('C0010', 0.988)]"
C0039,"[('C0169', 1.0), ('C0179', 1.0), ('C0195', 0.998)]"
C0040,"[('C0016', 1.0), ('C0107', 1.0), ('C0066', 0.996)]"
C0041,"[('C0068', 1.0), ('C0045', 0.996), ('C0012', 0.994)]"
C0042,"[('C0078', 0.995), ('C0074', 0.993), ('C0007', 0.991)]"
C0043,"[('C0032', 0.999), ('C0062', 0.998), ('C0035', 0.997)]"
C0044,"[('C0185', 0.999), ('C0115', 0.998), ('C0050', 0.998)]"
C0045,"[('C0012', 0.998), ('C0101', 0.997), ('C0068', 0.996)]"
C0046,"[('C0087', 1.0), ('C0102', 0.999), ('C0173', 0.999)]"
C0047,"[('C0086', 1.0), ('C0030', 0.952), ('C0027', 0.947)]"
C0048,"[('C0026', 0.991), ('C0040', 0.99), ('C0107', 0.989)]"
C0049,"[('C0161', 1.0), ('C0134', 0.995), ('C0147', 0.994)]"
C0050,"[('C0115', 1.0), ('C0074', 0.998), ('C0127', 0.998)]"
C0051,"[('C0067', 0.992), ('C0013', 0.991), ('C0141', 0.99)]"
C0052,"[('C0036', 0.999), ('C0119', 0.999), ('C0083', 0.999)]"
C0053,"[('C0057', 0.999), ('C0105', 0.997), ('C0108', 0.996)]"
C0054,"[('C0099', 1.0), ('C0122', 0.999), ('C0188', 0.999)]"
C0055,"[('C0174', 1.0), ('C0142', 0.998), ('C0176', 0.997)]"
C0056,"[('C0127', 0.982), ('C0050', 0.97), ('C0184', 0.97)]"
C0057,"[('C0053', 0.999), ('C0068', 0.994), ('C0105', 0.993)]"
C0058,"[('C0015', 0.999), ('C0186', 0.988), ('C0103', 0.986)]"
C0059,"[('C0114', 0.999), ('C0067', 0.999), ('C0013', 0.997)]"
C0060,"[('C0033', 0.999), ('C0151', 0.999), ('C0189', 0.992)]"
C0061,"[('C0069', 0.998), ('C0140', 0.997), ('C0167', 0.995)]"
C0062,"[('C0197', 1.0), ('C0032', 1.0), ('C0043', 0.998)]"
C0063,"[('C0095', 0.998), ('C0083', 0.997), ('C0036', 0.995)]"
C0064,"[('C0100', 0.989), ('C0096', 0.987), ('C0170', 0.973)]"
C0065,"[('C0093', 1.0), ('C0153', 1.0), ('C0101', 1.0)]"
C0066,"[('C0016', 0.998), ('C0158', 0.998), ('C0040', 0.996)]"
C0067,"[('C0114', 0.999), ('C0059', 0.999), ('C0013', 0.997)]"
C0068,"[('C0041', 1.0), ('C0045', 0.996), ('C0012', 0.995)]"
C0069,"[('C0061', 0.998), ('C0167', 0.997), ('C0005', 0.997)]"
C0070,"[('C0116', 0.986), ('C0186', 0.982), ('C0015', 0.973)]"
C0071,"[('C0112', 0.999), ('C0035', 0.998), ('C0025', 0.997)]"
C0072,"[('C0038', 0.993), ('C0003', 0.989), ('C0111', 0.979)]"
C0073,"[('C0199', 0.993), ('C0166', 0.986), ('C0031', 0.982)]"
C0074,"[('C0115', 0.999), ('C0050', 0.998), ('C0127', 0.996)]"
C0075,"[('C0004', 0.997), ('C0165', 0.997), ('C0162', 0.993)]"
C0076,"[('C0073', 0.965), ('C0199', 0.958), ('C0132', 0.957)]"
C0077,"[('C0071', 0.996), ('C0002', 0.996), ('C0025', 0.996)]"
C0078,"[('C0007', 0.995), ('C0042', 0.995), ('C0125', 0.993)]"
C0079,"[('C0196', 0.998), ('C0187', 0.998), ('C0168', 0.994)]"
C0080,"[('C0120', 1.0), ('C0191', 1.0), ('C0131', 0.999)]"
C0081,"[('C0091', 0.97), ('C0034', 0.957), ('C0134', 0.943)]"
C0082,"[('C0200', 1.0), ('C0104', 1.0), ('C0148', 0.999)]"
C0083,"[('C0036', 1.0), ('C0119', 1.0), ('C0052', 0.999)]"
C0084,"[('C0008', 0.996), ('C0113', 0.996), ('C0017', 0.995)]"
C0085,"[('C0089', 0.999), ('C0146', 0.997), ('C0125', 0.997)]"
C0086,"[('C0047', 1.0), ('C0027', 0.947), ('C0030', 0.947)]"
C0087,"[('C0046', 1.0), ('C0102', 1.0), ('C0173', 0.999)]"
C0088,"[('C0031', 0.997), ('C0197', 0.997), ('C0062', 0.996)]"
C0089,"[('C0085', 0.999), ('C0125', 0.999), ('C0007', 0.998)]"
C0090,"[('C0084', 0.987), ('C0017', 0.987), ('C0113', 0.984)]"
C0091,"[('C0034', 0.997), ('C0081', 0.97), ('C0134', 0.958)]"
C0092,"[('C0001', 0.997), ('C0135', 0.995), ('C0103', 0.993)]"
C0093,"[('C0065', 1.0), ('C0153', 1.0), ('C0101', 1.0)]"
C0094,"[('C0157', 0.999), ('C0172', 0.996), ('C0144', 0.996)]"
C0095,"[('C0063', 0.998), ('C0083', 0.997), ('C0159', 0.996)]"
C0096,"[('C0170', 0.997), ('C0037', 0.995), ('C0171', 0.99)]"
C0097,"[('C0014', 0.999), ('C0035', 0.998), ('C0043', 0.997)]"
C0098,"[('C0181', 0.878), ('C0160', 0.735), ('C0047', 0.717)]"
C0099,"[('C0054', 1.0), ('C0122', 1.0), ('C0188', 0.998)]"
C0100,"[('C0023', 0.99), ('C0064', 0.989), ('C0011', 0.985)]"
C0101,"[('C0012', 1.0), ('C0093', 1.0), ('C0153', 1.0)]"
C0102,"[('C0145', 1.0), ('C0087', 1.0), ('C0046', 0.999)]"
C0103,"[('C0001', 0.998), ('C0092', 0.993), ('C0015', 0.986)]"
C0104,"[('C0200', 1.0), ('C0082', 1.0), ('C0148', 1.0)]"
C0105,"[('C0108', 1.0), ('C0053', 0.997), ('C0057', 0.993)]"
C0106,"[('C0030', 0.997), ('C0010', 0.99), ('C0038', 0.987)]"
C0107,"[('C0040', 1.0), ('C0016', 0.999), ('C0066', 0.995)]"
C0108,"[('C0105', 1.0), ('C0053', 0.996), ('C0057', 0.992)]"
C0109,"[('C0008', 0.992), ('C0075', 0.989), ('C0113', 0.989)]"
C0110,"[('C0193', 0.998), ('C0198', 0.998), ('C0177', 0.997)]"
C0111,"[('C0190', 0.999), ('C0003', 0.998), ('C0147', 0.993)]"
C0112,"[('C0035', 1.0), ('C0071', 0.999), ('C0097', 0.996)]"
C0113,"[('C0017', 1.0), ('C0084', 0.996), ('C0008', 0.996)]"
C0114,"[('C0059', 0.999), ('C0067', 0.999), ('C0013', 0.995)]"
C0115,"[('C0050', 1.0), ('C0074', 0.999), ('C0044', 0.998)]"
C0116,"[('C0070', 0.986), ('C0058', 0.983), ('C0133', 0.982)]"
C0117,"[('C0183', 0.986), ('C0006', 0.969), ('C0168', 0.955)]"
C0118,"[('C0074', 0.98), ('C0115', 0.976), ('C0050', 0.97)]"
C0119,"[('C0036', 1.0), ('C0083', 1.0), ('C0052', 0.999)]"
C0120,"[('C0131', 1.0), ('C0191', 1.0), ('C0080', 1.0)]"
C0121,"[('C0189', 1.0), ('C0142', 0.998), ('C0151', 0.995)]"
C0122,"[('C0099', 1.0), ('C0054', 0.999), ('C0163', 0.997)]"
C0123,"[('C0150', 0.998), ('C0140', 0.996), ('C0130', 0.994)]"
C0124,"[('C0162', 0.988), ('C0075', 0.985), ('C0004', 0.983)]"
C0125,"[('C0007', 1.0), ('C0089', 0.999), ('C0085', 0.997)]"
C0126,"[('C0064', 0.964), ('C0171', 0.962), ('C0051', 0.949)]"
C0127,"[('C0050', 0.998), ('C0115', 0.996), ('C0074', 0.996)]"
C0128,"[('C0020', 1.0), ('C0005', 0.999), ('C0192', 0.999)]"
C0129,"[('C0132', 0.998), ('C0177', 0.996), ('C0198', 0.996)]"
C0130,"[('C0009', 1.0), ('C0192', 0.999), ('C0128', 0.998)]"
C0131,"[('C0120', 1.0), ('C0080', 0.999), ('C0191', 0.999)]"
C0132,"[('C0129', 0.998), ('C0110', 0.991), ('C0198', 0.989)]"
C0133,"[('C0078', 0.986), ('C0007', 0.983), ('C0116', 0.982)]"
C0134,"[('C0190', 0.995), ('C0049', 0.995), ('C0161', 0.994)]"
C0135,"[('C0092', 0.995), ('C0137', 0.995), ('C0001', 0.993)]"
C0136,"[('C0195', 0.997), ('C0179', 0.993), ('C0039', 0.993)]"
C0137,"[('C0135', 0.995), ('C0001', 0.982), ('C0092', 0.981)]"
C0138,"[('C0155', 0.997), ('C0037', 0.996), ('C0170', 0.994)]"
C0139,"[('C0011', 0.987), ('C0196', 0.985), ('C0079', 0.983)]"
C0140,"[('C0061', 0.997), ('C0123', 0.996), ('C0069', 0.993)]"
C0141,"[('C0021', 0.998), ('C0013', 0.998), ('C0188', 0.997)]"
C0142,"[('C0174', 0.999), ('C0055', 0.998), ('C0121', 0.998)]"
C0143,"[('C0153', 1.0), ('C0065', 0.999), ('C0093', 0.999)]"
C0144,"[('C0172', 1.0), ('C0157', 0.998), ('C0025', 0.998)]"
C0145,"[('C0173', 1.0), ('C0102', 1.0), ('C0087', 0.999)]"
C0146,"[('C0085', 0.997), ('C0089', 0.997), ('C0125', 0.997)]"
C0147,"[('C0160', 0.998), ('C0049', 0.994), ('C0161', 0.993)]"
C0148,"[('C0104', 1.0), ('C0200', 0.999), ('C0082', 0.999)]"
C0149,"[('C0163', 0.998), ('C0046', 0.996), ('C0087', 0.995)]"
C0150,"[('C0130', 0.998), ('C0123', 0.998), ('C0009', 0.998)]"
C0151,"[('C0060', 0.999), ('C0189', 0.997), ('C0033', 0.996)]"
C0152,"[('C0164', 0.899), ('C0140', 0.836), ('C0177', 0.824)]"
C0153,"[('C0093', 1.0), ('C0143', 1.0), ('C0065', 1.0)]"
C0154,"[('C0158', 0.972), ('C0118', 0.963), ('C0066', 0.959)]"
C0155,"[('C0138', 0.997), ('C0037', 0.994), ('C0170', 0.993)]"
C0156,"[('C0028', 0.999), ('C0065', 0.998), ('C0093', 0.997)]"
C0157,"[('C0094', 0.999), ('C0172', 0.998), ('C0144', 0.998)]"
C0158,"[('C0066', 0.998), ('C0185', 0.995), ('C0016', 0.992)]"
C0159,"[('C0193', 0.998), ('C0110', 0.997), ('C0095', 0.996)]"
C0160,"[('C0147', 0.998), ('C0049', 0.989), ('C0161', 0.988)]"
C0161,"[('C0049', 1.0), ('C0134', 0.994), ('C0147', 0.993)]"
C0162,"[('C0004', 0.998), ('C0175', 0.993), ('C0165', 0.993)]"
C0163,"[('C0046', 0.999), ('C0087', 0.998), ('C0149', 0.998)]"
C0164,"[('C0061', 0.987), ('C0140', 0.987), ('C0069', 0.978)]"
C0165,"[('C0004', 0.998), ('C0075', 0.997), ('C0162', 0.993)]"
C0166,"[('C0031', 0.998), ('C0019', 0.997), ('C0088', 0.991)]"
C0167,"[('C0005', 1.0), ('C0020', 1.0), ('C0009', 0.998)]"
C0168,"[('C0196', 0.999), ('C0006', 0.998), ('C0079', 0.994)]"
C0169,"[('C0039', 1.0), ('C0179', 1.0), ('C0195', 0.997)]"
C0170,"[('C0037', 1.0), ('C0096', 0.997), ('C0171', 0.995)]"
C0171,"[('C0037', 0.997), ('C0170', 0.995), ('C0138', 0.992)]"
C0172,"[('C0144', 1.0), ('C0157', 0.998), ('C0025', 0.997)]"
C0173,"[('C0145', 1.0), ('C0087', 0.999), ('C0046', 0.999)]"
C0174,"[('C0055', 1.0), ('C0142', 0.999), ('C0176', 0.996)]"
C0175,"[('C0045', 0.995), ('C0162', 0.993), ('C0041', 0.992)]"
C0176,"[('C0010', 0.999), ('C0055', 0.997), ('C0174', 0.996)]"
C0177,"[('C0198', 1.0), ('C0110', 0.997), ('C0129', 0.996)]"
C0178,"[('C0097', 0.991), ('C0014', 0.986), ('C0112', 0.985)]"
C0179,"[('C0039', 1.0), ('C0169', 1.0), ('C0195', 0.998)]"
C0181,"[('C0109', 0.878), ('C0098', 0.878), ('C0008', 0.86)]"
C0182,"[('C0143', 0.998), ('C0153', 0.996), ('C0065', 0.995)]"
C0183,"[('C0006', 0.987), ('C0117', 0.986), ('C0187', 0.981)]"
C0184,"[('C0185', 0.996), ('C0044', 0.995), ('C0066', 0.991)]"
C0185,"[('C0044', 0.999), ('C0184', 0.996), ('C0158', 0.995)]"
C0186,"[('C0131', 0.998), ('C0120', 0.998), ('C0191', 0.997)]"
C0187,"[('C0079', 0.998), ('C0006', 0.995), ('C0196', 0.995)]"
C0188,"[('C0054', 0.999), ('C0099', 0.998), ('C0141', 0.997)]"
C0189,"[('C0121', 1.0), ('C0151', 0.997), ('C0142', 0.996)]"
C0190,"[('C0111', 0.999), ('C0003', 0.997), ('C0134', 0.995)]"
C0191,"[('C0120', 1.0), ('C0080', 1.0), ('C0131', 0.999)]"
C0192,"[('C0130', 0.999), ('C0128', 0.999), ('C0009', 0.999)]"
C0193,"[('C0159', 0.998), ('C0110', 0.998), ('C0198', 0.996)]"
C0194,"[('C0169', 0.951), ('C0039', 0.949), ('C0179', 0.947)]"
C0195,"[('C0179', 0.998), ('C0039', 0.998), ('C0136', 0.997)]"
C0196,"[('C0168', 0.999), ('C0079', 0.998), ('C0006', 0.995)]"
C0197,"[('C0062', 1.0), ('C0032', 0.998), ('C0088', 0.997)]"
C0198,"[('C0177', 1.0), ('C0110', 0.998), ('C0193', 0.996)]"
C0199,"[('C0073', 0.993), ('C0159', 0.989), ('C0110', 0.988)]"
C0200,"[('C0082', 1.0), ('C0104', 1.0), ('C0148', 0.999)]"
